symbol,entry_price,exit_price,amount,pnl,pnl_pct,fee,entry_time,exit_time,duration_min,exit_reason,new_balance
MBL/USDT,0.000694,0.000691,14450.0,-0.043349999999999486,-0.4322766570605152,2.635e-05,2026-07-18 12:32:30.949818,2026-07-18 12:35:02.122702,2.5195480666666668,"emergency exit — observed price deviated 1.5731% above forecast, beyond this forecast's own best-case (1.0328%); locking in unexpected gain outside the model's predicted regime",9.95665
DODO/USDT,0.02071,0.02069,483.0,-0.009659999999999606,-0.09657170449057784,2.6390000000000003e-05,2026-07-19 12:42:51.204500,2026-07-19 13:10:04.394647,27.219835783333334,"hold-time exceeded — 5 bars elapsed since entry, forecast expected profitability within 4",9.99034
INJ/USDT,5.07,5.093,1.0,0.022999999999999687,0.4536489151873768,1.34e-05,2026-07-19 13:19:16.842727,2026-07-22 08:05:34.272946,4006.29050365,reconciled_on_recovery,10.01334
FTT/USDT,0.2058,0.20577895833333334,48.0,-0.0010099999999999554,-0.010224327826369173,2.6000000000000002e-05,2026-07-22 08:22:20.856440,2026-07-22 08:33:01.781547,10.682085116666666,"hold-time exceeded — 10 bars elapsed since entry, forecast expected profitability within 9",10.012329999999999
FTT/USDT,0.20672104166666666,0.20641475,48.0,-0.014701999999999327,-0.14816666179563454,2.6000000000000002e-05,2026-07-22 08:34:01.303193,2026-07-22 08:44:01.463763,10.002676166666667,"hold-time exceeded — 10 bars elapsed since entry, forecast expected profitability within 9",9.997627999999999
FTT/USDT,0.207,0.2048,48.0,-0.10559999999999903,-1.0628019323671412,2.598e-05,2026-07-22 08:45:01.146459,2026-07-22 08:51:01.377521,6.0038510333333335,"emergency exit — observed price deviated -0.7884% below forecast, beyond this forecast's own worst-case (0.7659%)",9.892028
FTT/USDT,0.20575491666666668,0.20485858333333334,48.0,-0.04302399999999995,-0.43563155031937084,2.591e-05,2026-07-22 08:52:01.416662,2026-07-22 08:53:01.578086,1.0026903999999999,"emergency exit — observed price deviated -0.8267% below forecast, beyond this forecast's own worst-case (0.7659%)",9.849004
FTT/USDT,0.2056,0.20687852083333333,48.0,0.06136899999999956,0.621848654345003,2.598e-05,2026-07-22 08:54:01.259725,2026-07-22 09:04:01.746569,10.008114066666668,"hold-time exceeded — 10 bars elapsed since entry, forecast expected profitability within 9",9.910373
